2010 Census Tract,School Year,Grade Level,Count of Students
34,20052006,K,18
34,20052006,1,25
34,20052006,2,21
34,20052006,3,18
34,20052006,4,14
34,20052006,5,19
34,20062007,K,24
34,20062007,1,23
34,20062007,2,21
34,20062007,3,21
34,20062007,4,14
34,20062007,5,12
34,20072008,K,27
34,20072008,1,27
34,20072008,2,24
34,20072008,3,20
34,20072008,4,22
34,20072008,5,12
34,20082009,K,16
34,20082009,1,25
34,20082009,2,27
34,20082009,3,26
34,20082009,4,22
34,20082009,5,23
34,20092010,K,25
34,20092010,1,19
34,20092010,2,27
34,20092010,3,29
34,20092010,4,27
34,20092010,5,20
34,20102011,K,27
34,20102011,1,25
34,20102011,2,20
34,20102011,3,27
34,20102011,4,27
34,20102011,5,26
36,20012002,K,19
36,20012002,1,35
36,20012002,2,36
36,20012002,3,30
36,20012002,4,19
36,20012002,5,29
36,20022003,K,21
36,20022003,1,22
36,20022003,2,38
36,20022003,3,38
36,20022003,4,29
36,20022003,5,17
36,20032004,K,26
36,20032004,1,26
36,20032004,2,24
36,20032004,3,42
36,20032004,4,33
36,20032004,5,25
36,20042005,K,22
36,20042005,1,21
36,20042005,2,23
36,20042005,3,27
36,20042005,4,42
36,20042005,5,31
36,20052006,K,13
36,20052006,1,23
36,20052006,2,19
36,20052006,3,24
36,20052006,4,25
36,20052006,5,40
36,20062007,K,24
36,20062007,1,20
36,20062007,2,22
36,20062007,3,21
36,20062007,4,27
36,20062007,5,25
36,20072008,K,21
36,20072008,1,26
36,20072008,2,18
36,20072008,3,20
36,20072008,4,21
36,20072008,5,23
36,20082009,K,15
36,20082009,1,24
36,20082009,2,21
36,20082009,3,13
36,20082009,4,19
36,20082009,5,22
36,20092010,K,30
36,20092010,1,19
36,20092010,2,21
36,20092010,3,21
36,20092010,4,12
36,20092010,5,20
36,20102011,K,30
36,20102011,1,28
36,20102011,2,22
36,20102011,3,23
36,20102011,4,21
36,20102011,5,10
38,20012002,K,9
38,20012002,1,6
38,20012002,2,7
38,20012002,3,6
38,20012002,4,9
38,20012002,5,6
38,20022003,K,6
38,20022003,1,9
38,20022003,2,7
38,20022003,3,7
38,20022003,4,6
38,20022003,5,10
38,20032004,K,4
38,20032004,1,7
38,20032004,2,8
38,20032004,3,6
38,20032004,4,7
38,20032004,5,5
38,20042005,K,6
38,20042005,1,2
38,20042005,2,6
38,20042005,3,7
38,20042005,4,7
38,20042005,5,5
38,20052006,K,5
38,20052006,1,5
38,20052006,2,1
38,20052006,3,6
38,20052006,4,9
38,20052006,5,6
38,20062007,K,5
38,20062007,1,6
38,20062007,2,4
38,20062007,3,2
38,20062007,4,6
38,20062007,5,9
38,20072008,K,7
38,20072008,1,6
38,20072008,2,4
38,20072008,3,4
38,20072008,4,2
38,20072008,5,10
38,20082009,K,9
38,20082009,1,7
38,20082009,2,8
38,20082009,3,6
38,20082009,4,4
38,20082009,5,2
38,20092010,K,6
38,20092010,1,9
38,20092010,2,7
38,20092010,3,7
38,20092010,4,4
38,20092010,5,7
38,20102011,K,9
38,20102011,1,6
38,20102011,2,9
38,20102011,3,7
38,20102011,4,8
38,20102011,5,5
44,20012002,K,9
44,20012002,1,10
44,20012002,2,9
44,20012002,3,12
44,20012002,4,13
44,20012002,5,12
44,20022003,K,15
44,20022003,1,13
44,20022003,2,11
44,20022003,3,8
44,20022003,4,12
44,20022003,5,13
44,20032004,K,7
44,20032004,1,18
44,20032004,2,14
44,20032004,3,10
44,20032004,4,11
44,20032004,5,10
44,20042005,K,9
44,20042005,1,7
44,20042005,2,16
44,20042005,3,12
44,20042005,4,10
44,20042005,5,11
44,20052006,K,5
44,20052006,1,10
44,20052006,2,7
44,20052006,3,12
44,20052006,4,15
44,20052006,5,9
44,20062007,K,11
44,20062007,1,4
44,20062007,2,9
44,20062007,3,7
44,20062007,4,12
44,20062007,5,11
44,20072008,K,13
44,20072008,1,8
44,20072008,2,4
44,20072008,3,7
44,20072008,4,6
44,20072008,5,11
44,20082009,K,15
44,20082009,1,15
44,20082009,2,8
44,20082009,3,6
44,20082009,4,7
44,20082009,5,7
44,20092010,K,19
44,20092010,1,14
44,20092010,2,13
44,20092010,3,8
44,20092010,4,10
44,20092010,5,8
44,20102011,K,16
44,20102011,1,23
44,20102011,2,14
44,20102011,3,13
44,20102011,4,7
44,20102011,5,11
46,20012002,K,7
46,20012002,1,6
46,20012002,2,3
46,20012002,3,6
46,20012002,4,3
46,20012002,5,8
46,20022003,K,3
46,20022003,1,5
46,20022003,2,5
46,20022003,3,2
46,20022003,4,3
46,20022003,5,4
46,20032004,K,4
46,20032004,1,3
46,20032004,2,6
46,20032004,3,3
46,20032004,4,3
46,20032004,5,3
46,20042005,K,5
46,20042005,1,4
46,20042005,2,3
46,20042005,3,6
46,20042005,4,3
46,20042005,5,2
46,20052006,K,2
46,20052006,1,3
46,20052006,2,4
46,20052006,3,3
46,20052006,4,7
46,20052006,5,2
46,20062007,K,9
46,20062007,1,4
46,20062007,2,5
46,20062007,3,6
46,20062007,4,2
46,20062007,5,8
46,20072008,K,13
46,20072008,1,10
46,20072008,2,2
46,20072008,3,4
46,20072008,4,5
46,20072008,5,2
46,20082009,K,9
46,20082009,1,12
46,20082009,2,9
46,20082009,3,3
46,20082009,4,4
46,20082009,5,5
46,20092010,K,9
46,20092010,1,9
46,20092010,2,16
46,20092010,3,10
46,20092010,4,8
46,20092010,5,6
46,20102011,K,6
46,20102011,1,11
46,20102011,2,9
46,20102011,3,17
46,20102011,4,9
46,20102011,5,9
50,20012002,K,11
50,20012002,1,10
50,20012002,2,17
50,20012002,3,7
50,20012002,4,6
50,20012002,5,7
50,20022003,K,6
50,20022003,1,11
50,20022003,2,11
50,20022003,3,16
50,20022003,4,4
50,20022003,5,6
50,20032004,K,9
50,20032004,1,4
50,20032004,2,9
50,20032004,3,10
50,20032004,4,17
50,20032004,5,5
50,20042005,K,7
50,20042005,1,8
50,20042005,2,4
50,20042005,3,10
50,20042005,4,9
50,20042005,5,16
50,20052006,K,8
50,20052006,1,10
50,20052006,2,8
50,20052006,3,7
50,20052006,4,11
50,20052006,5,9
50,20062007,K,17
50,20062007,1,9
50,20062007,2,6
50,20062007,3,8
50,20062007,4,6
50,20062007,5,11
50,20072008,K,11
50,20072008,1,15
50,20072008,2,9
50,20072008,3,4
50,20072008,4,7
50,20072008,5,4
50,20082009,K,15
50,20082009,1,10
50,20082009,2,17
50,20082009,3,9
50,20082009,4,4
50,20082009,5,7
50,20092010,K,20
50,20092010,1,17
50,20092010,2,13
50,20092010,3,19
50,20092010,4,15
50,20092010,5,13
50,20102011,K,12
50,20102011,1,24
50,20102011,2,19
50,20102011,3,12
50,20102011,4,20
50,20102011,5,13
51,20012002,5,1
54,20012002,K,10
54,20012002,1,14
54,20012002,2,16
54,20012002,3,9
54,20012002,4,13
54,20012002,5,6
54,20022003,K,10
54,20022003,1,11
54,20022003,2,11
54,20022003,3,10
54,20022003,4,8
54,20022003,5,9
54,20032004,K,12
54,20032004,1,14
54,20032004,2,13
54,20032004,3,12
54,20032004,4,15
54,20032004,5,7
54,20042005,K,11
54,20042005,1,7
54,20042005,2,14
54,20042005,3,9
54,20042005,4,8
54,20042005,5,14
54,20052006,K,8
54,20052006,1,10
54,20052006,2,3
54,20052006,3,13
54,20052006,4,6
54,20052006,5,6
54,20062007,K,6
54,20062007,1,8
54,20062007,2,10
54,20062007,3,3
54,20062007,4,11
54,20062007,5,3
54,20072008,K,16
54,20072008,1,6
54,20072008,2,6
54,20072008,3,11
54,20072008,4,2
54,20072008,5,7
54,20082009,K,23
54,20082009,1,11
54,20082009,2,2
54,20082009,3,7
54,20082009,4,7
54,20082009,5,2
54,20092010,K,11
54,20092010,1,27
54,20092010,2,14
54,20092010,3,4
54,20092010,4,5
54,20092010,5,6
54,20102011,K,16
54,20102011,1,7
54,20102011,2,23
54,20102011,3,8
54,20102011,4,3
54,20102011,5,5
58,20012002,K,16
58,20012002,1,15
58,20012002,2,12
58,20012002,3,15
58,20012002,4,8
58,20012002,5,7
58,20022003,K,16
58,20022003,1,19
58,20022003,2,13
58,20022003,3,15
58,20022003,4,14
58,20022003,5,9
58,20032004,K,10
58,20032004,1,17
58,20032004,2,15
58,20032004,3,11
58,20032004,4,13
58,20032004,5,15
58,20042005,K,9
58,20042005,1,14
58,20042005,2,16
58,20042005,3,10
58,20042005,4,8
58,20042005,5,9
58,20052006,K,9
58,20052006,1,11
58,20052006,2,11
58,20052006,3,11
58,20052006,4,10
58,20052006,5,7
58,20062007,K,9
58,20062007,1,7
58,20062007,2,9
58,20062007,3,8
58,20062007,4,14
58,20062007,5,5
58,20072008,K,20
58,20072008,1,9
58,20072008,2,4
58,20072008,3,9
58,20072008,4,7
58,20072008,5,11
58,20082009,K,24
58,20082009,1,15
58,20082009,2,10
58,20082009,3,5
58,20082009,4,6
58,20082009,5,6
58,20092010,K,23
58,20092010,1,27
58,20092010,2,19
58,20092010,3,8
58,20092010,4,11
58,20092010,5,13
58,20102011,K,33
58,20102011,1,22
58,20102011,2,22
58,20102011,3,17
58,20102011,4,8
58,20102011,5,9
60,20012002,K,21
60,20012002,1,24
60,20012002,2,23
60,20012002,3,19
60,20012002,4,14
60,20012002,5,19
60,20022003,K,23
60,20022003,1,17
60,20022003,2,21
60,20022003,3,21
60,20022003,4,13
60,20022003,5,13
60,20032004,K,19
60,20032004,1,22
60,20032004,2,16
60,20032004,3,26
60,20032004,4,15
60,20032004,5,14
60,20042005,K,15
60,20042005,1,18
60,20042005,2,21
60,20042005,3,11
60,20042005,4,27
60,20042005,5,18
60,20052006,K,15
60,20052006,1,11
60,20052006,2,18
60,20052006,3,22
60,20052006,4,10
60,20052006,5,24
60,20062007,K,24
60,20062007,1,14
60,20062007,2,11
60,20062007,3,18
60,20062007,4,19
60,20062007,5,10
60,20072008,K,24
60,20072008,1,23
60,20072008,2,13
60,20072008,3,10
60,20072008,4,13
60,20072008,5,20
60,20082009,K,27
60,20082009,1,25
60,20082009,2,28
60,20082009,3,14
60,20082009,4,7
60,20082009,5,11
60,20092010,K,24
60,20092010,1,32
60,20092010,2,32
60,20092010,3,32
60,20092010,4,24
60,20092010,5,24
60,20102011,K,35
60,20102011,1,32
60,20102011,2,35
60,20102011,3,33
60,20102011,4,30
60,20102011,5,26
62,20012002,K,26
62,20012002,1,33
62,20012002,2,28
62,20012002,3,34
62,20012002,4,22
62,20012002,5,16
62,20022003,K,16
62,20022003,1,22
62,20022003,2,35
62,20022003,3,30
62,20022003,4,30
62,20022003,5,19
62,20032004,K,21
62,20032004,1,20
62,20032004,2,19
62,20032004,3,25
62,20032004,4,27
62,20032004,5,31
62,20042005,K,14
62,20042005,1,24
62,20042005,2,20
62,20042005,3,24
62,20042005,4,28
62,20042005,5,28
62,20052006,K,14
62,20052006,1,14
62,20052006,2,17
62,20052006,3,14
62,20052006,4,19
62,20052006,5,26
62,20062007,K,26
62,20062007,1,19
62,20062007,2,11
62,20062007,3,17
62,20062007,4,11
62,20062007,5,20
62,20072008,K,30
62,20072008,1,27
62,20072008,2,17
62,20072008,3,9
62,20072008,4,15
62,20072008,5,11
62,20082009,K,35
62,20082009,1,32
62,20082009,2,30
62,20082009,3,18
62,20082009,4,12
62,20082009,5,14
62,20092010,K,33
62,20092010,1,34
62,20092010,2,34
62,20092010,3,35
62,20092010,4,29
62,20092010,5,30
62,20102011,K,27
62,20102011,1,32
62,20102011,2,35
62,20102011,3,35
62,20102011,4,32
62,20102011,5,31
64,20012002,K,22
64,20012002,1,27
64,20012002,2,29
64,20012002,3,23
64,20012002,4,21
64,20012002,5,24
64,20022003,K,19
64,20022003,1,22
64,20022003,2,28
64,20022003,3,31
64,20022003,4,27
64,20022003,5,20
64,20032004,K,16
64,20032004,1,17
64,20032004,2,17
64,20032004,3,26
64,20032004,4,30
64,20032004,5,28
64,20042005,K,23
64,20042005,1,16
64,20042005,2,19
64,20042005,3,18
64,20042005,4,31
64,20042005,5,33
64,20052006,K,24
64,20052006,1,28
64,20052006,2,17
64,20052006,3,18
64,20052006,4,21
64,20052006,5,32
64,20062007,K,36
64,20062007,1,19
64,20062007,2,21
64,20062007,3,19
64,20062007,4,18
64,20062007,5,21
64,20072008,K,20
64,20072008,1,28
64,20072008,2,21
64,20072008,3,15
64,20072008,4,15
64,20072008,5,16
64,20082009,K,34
64,20082009,1,18
64,20082009,2,29
64,20082009,3,23
64,20082009,4,16
64,20082009,5,16
64,20092010,K,34
64,20092010,1,37
64,20092010,2,22
64,20092010,3,32
64,20092010,4,35
64,20092010,5,34
64,20102011,K,34
64,20102011,1,37
64,20102011,2,32
64,20102011,3,22
64,20102011,4,34
64,20102011,5,36
66,20012002,K,32
66,20012002,1,26
66,20012002,2,34
66,20012002,3,25
66,20012002,4,18
66,20012002,5,26
66,20022003,K,21
66,20022003,1,36
66,20022003,2,31
66,20022003,3,33
66,20022003,4,22
66,20022003,5,16
66,20032004,K,32
66,20032004,1,25
66,20032004,2,34
66,20032004,3,34
66,20032004,4,31
66,20032004,5,25
66,20042005,K,29
66,20042005,1,28
66,20042005,2,21
66,20042005,3,34
66,20042005,4,36
66,20042005,5,29
66,20052006,K,28
66,20052006,1,27
66,20052006,2,27
66,20052006,3,24
66,20052006,4,36
66,20052006,5,33
66,20062007,K,32
66,20062007,1,32
66,20062007,2,26
66,20062007,3,26
66,20062007,4,27
66,20062007,5,35
66,20072008,K,30
66,20072008,1,36
66,20072008,2,32
66,20072008,3,25
66,20072008,4,26
66,20072008,5,29
66,20082009,K,24
66,20082009,1,32
66,20082009,2,31
66,20082009,3,30
66,20082009,4,18
66,20082009,5,26
66,20092010,K,30
66,20092010,1,26
66,20092010,2,34
66,20092010,3,27
66,20092010,4,29
66,20092010,5,23
66,20102011,K,37
66,20102011,1,32
66,20102011,2,29
66,20102011,3,35
66,20102011,4,24
66,20102011,5,33
68,20012002,K,46
68,20012002,1,56
68,20012002,2,56
68,20012002,3,66
68,20012002,4,42
68,20012002,5,53
68,20022003,K,56
68,20022003,1,49
68,20022003,2,55
68,20022003,3,59
68,20022003,4,71
68,20022003,5,47
68,20032004,K,50
68,20032004,1,61
68,20032004,2,50
68,20032004,3,54
68,20032004,4,62
68,20032004,5,70
68,20042005,K,56
68,20042005,1,52
68,20042005,2,65
68,20042005,3,42
68,20042005,4,51
68,20042005,5,56
68,20052006,K,67
68,20052006,1,62
68,20052006,2,49
68,20052006,3,69
68,20052006,4,52
68,20052006,5,58
68,20062007,K,47
68,20062007,1,67
68,20062007,2,66
68,20062007,3,53
68,20062007,4,63
68,20062007,5,60
68,20072008,K,55
68,20072008,1,48
68,20072008,2,69
68,20072008,3,71
68,20072008,4,51
68,20072008,5,58
68,20082009,K,67
68,20082009,1,62
68,20082009,2,47
68,20082009,3,68
68,20082009,4,74
68,20082009,5,52
68,20092010,K,64
68,20092010,1,75
68,20092010,2,63
68,20092010,3,56
68,20092010,4,62
68,20092010,5,72
68,20102011,K,58
68,20102011,1,55
68,20102011,2,74
68,20102011,3,56
68,20102011,4,55
68,20102011,5,61
70,20012002,K,21
70,20012002,1,17
70,20012002,2,22
70,20012002,3,15
70,20012002,4,13
70,20012002,5,9
70,20022003,K,14
70,20022003,1,21
70,20022003,2,17
70,20022003,3,19
70,20022003,4,13
70,20022003,5,15
70,20032004,K,17
70,20032004,1,18
70,20032004,2,21
70,20032004,3,16
70,20032004,4,20
70,20032004,5,10
70,20042005,K,18
70,20042005,1,19
70,20042005,2,18
70,20042005,3,19
70,20042005,4,15
70,20042005,5,19
70,20052006,K,12
70,20052006,1,14
70,20052006,2,13
70,20052006,3,17
70,20052006,4,18
70,20052006,5,10
70,20062007,K,19
70,20062007,1,17
70,20062007,2,15
70,20062007,3,14
70,20062007,4,18
70,20062007,5,18
70,20072008,K,13
70,20072008,1,19
70,20072008,2,15
70,20072008,3,16
70,20072008,4,15
70,20072008,5,15
70,20082009,K,15
70,20082009,1,14
70,20082009,2,21
70,20082009,3,13
70,20082009,4,14
70,20082009,5,16
70,20092010,K,10
70,20092010,1,18
70,20092010,2,14
70,20092010,3,20
70,20092010,4,11
70,20092010,5,14
70,20102011,K,19
70,20102011,1,11
70,20102011,2,20
70,20102011,3,13
70,20102011,4,18
70,20102011,5,13
72,20012002,K,21
72,20012002,1,23
72,20012002,2,39
72,20012002,3,28
72,20012002,4,19
72,20012002,5,26
72,20022003,K,19
72,20022003,1,24
72,20022003,2,25
72,20022003,3,39
72,20022003,4,25
72,20022003,5,20
72,20032004,K,29
72,20032004,1,21
72,20032004,2,25
72,20032004,3,27
72,20032004,4,38
72,20032004,5,24
72,20042005,K,24
72,20042005,1,28
72,20042005,2,21
72,20042005,3,22
72,20042005,4,20
72,20042005,5,30
72,20052006,K,20
72,20052006,1,23
72,20052006,2,34
72,20052006,3,16
72,20052006,4,22
72,20052006,5,19
72,20062007,K,28
72,20062007,1,21
72,20062007,2,23
72,20062007,3,27
72,20062007,4,16
72,20062007,5,25
72,20072008,K,20
72,20072008,1,25
72,20072008,2,18
72,20072008,3,21
72,20072008,4,26
72,20072008,5,19
72,20082009,K,12
72,20082009,1,21
72,20082009,2,22
72,20082009,3,20
72,20082009,4,24
72,20082009,5,28
72,20092010,K,21
72,20092010,1,19
72,20092010,2,24
72,20092010,3,19
72,20092010,4,22
72,20092010,5,22
72,20102011,K,26
72,20102011,1,21
72,20102011,2,20
72,20102011,3,21
72,20102011,4,21
72,20102011,5,23
74,20012002,K,89
74,20012002,1,105
74,20012002,2,82
74,20012002,3,81
74,20012002,4,63
74,20012002,5,75
74,20022003,K,82
74,20022003,1,94
74,20022003,2,98
74,20022003,3,87
74,20022003,4,72
74,20022003,5,62
74,20032004,K,76
74,20032004,1,89
74,20032004,2,91
74,20032004,3,91
74,20032004,4,75
74,20032004,5,60
74,20042005,K,77
74,20042005,1,66
74,20042005,2,85
74,20042005,3,82
74,20042005,4,89
74,20042005,5,66
74,20052006,K,89
74,20052006,1,86
74,20052006,2,73
74,20052006,3,80
74,20052006,4,72
74,20052006,5,86
74,20062007,K,87
74,20062007,1,83
74,20062007,2,81
74,20062007,3,68
74,20062007,4,78
74,20062007,5,75
74,20072008,K,75
74,20072008,1,78
74,20072008,2,87
74,20072008,3,79
74,20072008,4,61
74,20072008,5,83
74,20082009,K,84
74,20082009,1,76
74,20082009,2,74
74,20082009,3,84
74,20082009,4,73
74,20082009,5,64
74,20092010,K,95
74,20092010,1,110
74,20092010,2,81
74,20092010,3,84
74,20092010,4,86
74,20092010,5,76
74,20102011,K,101
74,20102011,1,96
74,20102011,2,111
74,20102011,3,88
74,20102011,4,82
74,20102011,5,81
75,20012002,K,1
75,20022003,1,1
76,20012002,K,38
76,20012002,1,46
76,20012002,2,40
76,20012002,3,34
76,20012002,4,34
76,20012002,5,40
76,20022003,K,32
76,20022003,1,39
76,20022003,2,50
76,20022003,3,44
76,20022003,4,30
76,20022003,5,25
76,20032004,K,46
76,20032004,1,34
76,20032004,2,38
76,20032004,3,47
76,20032004,4,36
76,20032004,5,25
76,20042005,K,32
76,20042005,1,44
76,20042005,2,36
76,20042005,3,42
76,20042005,4,43
76,20042005,5,32
76,20052006,K,34
76,20052006,1,35
76,20052006,2,43
76,20052006,3,33
76,20052006,4,42
76,20052006,5,47
76,20062007,K,27
76,20062007,1,33
76,20062007,2,33
76,20062007,3,46
76,20062007,4,30
76,20062007,5,45
76,20072008,K,29
76,20072008,1,30
76,20072008,2,36
76,20072008,3,34
76,20072008,4,42
76,20072008,5,30
76,20082009,K,29
76,20082009,1,31
76,20082009,2,35
76,20082009,3,37
76,20082009,4,35
76,20082009,5,34
76,20092010,K,28
76,20092010,1,41
76,20092010,2,42
76,20092010,3,28
76,20092010,4,27
76,20092010,5,33
76,20102011,K,36
76,20102011,1,24
76,20102011,2,42
76,20102011,3,41
76,20102011,4,28
76,20102011,5,29
78,20012002,4,1
78,20022003,5,1
80,20012002,K,1
82,20012002,1,1
82,20022003,K,1
82,20022003,2,1
82,20032004,1,1
82,20032004,3,1
82,20042005,4,1
82,20052006,5,1
90,20022003,5,1
94,20012002,K,12
94,20012002,1,14
94,20012002,2,3
94,20012002,3,10
94,20012002,4,8
94,20012002,5,8
94,20022003,K,10
94,20022003,1,10
94,20022003,2,9
94,20022003,3,2
94,20022003,4,11
94,20022003,5,6
94,20032004,K,6
94,20032004,1,10
94,20032004,2,10
94,20032004,3,9
94,20032004,4,4
94,20032004,5,12
94,20042005,K,13
94,20042005,1,7
94,20042005,2,10
94,20042005,3,8
94,20042005,4,8
94,20042005,5,4
94,20052006,K,7
94,20052006,1,15
94,20052006,2,10
94,20052006,3,11
94,20052006,4,11
94,20052006,5,9
94,20062007,K,12
94,20062007,1,6
94,20062007,2,14
94,20062007,3,10
94,20062007,4,8
94,20062007,5,12
94,20072008,K,7
94,20072008,1,8
94,20072008,2,5
94,20072008,3,14
94,20072008,4,9
94,20072008,5,6
94,20082009,K,6
94,20082009,1,8
94,20082009,2,7
94,20082009,3,7
94,20082009,4,13
94,20082009,5,10
94,20092010,K,11
94,20092010,1,12
94,20092010,2,9
94,20092010,3,12
94,20092010,4,7
94,20092010,5,9
94,20102011,K,13
94,20102011,1,10
94,20102011,2,16
94,20102011,3,10
94,20102011,4,11
94,20102011,5,6
96,20012002,2,1
96,20012002,4,1
96,20012002,5,2
96,20022003,3,2
96,20022003,5,1
96,20032004,4,2
96,20042005,4,1
96,20042005,5,1
96,20052006,5,1
98,20012002,1,1
98,20012002,2,3
98,20012002,3,1
98,20022003,2,1
98,20022003,3,3
98,20022003,4,1
98,20032004,3,2
98,20032004,4,2
98,20032004,5,1
98,20042005,4,2
98,20042005,5,1
98,20052006,5,2
100,20012002,K,28
100,20012002,1,31
100,20012002,2,27
100,20012002,3,24
100,20012002,4,28
100,20012002,5,23
100,20022003,K,33
100,20022003,1,29
100,20022003,2,34
100,20022003,3,23
100,20022003,4,25
100,20022003,5,24
100,20032004,K,21
100,20032004,1,32
100,20032004,2,37
100,20032004,3,26
100,20032004,4,22
100,20032004,5,26
100,20042005,K,21
100,20042005,1,24
100,20042005,2,29
100,20042005,3,25
100,20042005,4,24
100,20042005,5,17
100,20052006,K,26
100,20052006,1,22
100,20052006,2,24
100,20052006,3,23
100,20052006,4,18
100,20052006,5,20
100,20062007,K,24
100,20062007,1,27
100,20062007,2,17
100,20062007,3,24
100,20062007,4,24
100,20062007,5,15
100,20072008,K,9
100,20072008,1,23
100,20072008,2,25
100,20072008,3,17
100,20072008,4,16
100,20072008,5,23
100,20082009,K,27
100,20082009,1,17
100,20082009,2,22
100,20082009,3,24
100,20082009,4,16
100,20082009,5,15
100,20092010,K,32
100,20092010,1,35
100,20092010,2,21
100,20092010,3,27
100,20092010,4,25
100,20092010,5,21
100,20102011,K,34
100,20102011,1,36
100,20102011,2,38
100,20102011,3,27
100,20102011,4,24
100,20102011,5,36
102,20012002,K,37
102,20012002,1,53
102,20012002,2,60
102,20012002,3,60
102,20012002,4,44
102,20012002,5,51
102,20022003,K,34
102,20022003,1,47
102,20022003,2,45
102,20022003,3,59
102,20022003,4,59
102,20022003,5,39
102,20032004,K,56
102,20032004,1,39
102,20032004,2,51
102,20032004,3,39
102,20032004,4,65
102,20032004,5,61
102,20042005,K,54
102,20042005,1,60
102,20042005,2,38
102,20042005,3,42
102,20042005,4,42
102,20042005,5,63
102,20052006,K,53
102,20052006,1,49
102,20052006,2,57
102,20052006,3,47
